document_type,image_width,image_height,ocr_length,metadata_present,blur_score,compression_score,label
Driving Licence,1920,1193,450,1,2894.6339367881465,15.12037280884873,0
Driving Licence,1200,816,638,1,2904.4600469728352,26.16145155592091,0
Driving Licence,1600,1094,523,1,1349.3564427131046,15.636499344142013,0
Driving Licence,1400,889,493,0,2227.780074568463,17.824582803960837,0
Driving Licence,1200,784,367,0,2324.2799368681435,27.703519227860273,0
Driving Licence,1200,786,423,0,685.8016508799909,24.150897038028766,0
Driving Licence,1400,909,453,1,4362.528132298237,28.16794696232922,0
Driving Licence,800,550,565,0,2260.6099749584055,14.440764696895577,0
Driving Licence,1400,865,214,1,1535.1199264000677,25.25044568707964,0
Driving Licence,1000,651,233,0,1239.4178221021082,31.391692555291172,0
Driving Licence,1000,649,381,1,2891.5999152443405,30.437484700462335,0
Driving Licence,1600,1074,369,0,2054.709158757928,17.426980635477918,0
Driving Licence,1400,893,396,0,2670.784332632994,14.818484499495252,0
Driving Licence,1920,1294,524,1,3588.9790771866296,15.974313630683447,0
Driving Licence,1920,1190,260,1,3660.7021621248227,24.11919949562023,0
Driving Licence,1000,657,220,1,3900.1543111591973,20.98901348276407,0
Driving Licence,800,546,586,0,3163.6894264699868,23.825955754154542,0
Driving Licence,1600,983,628,0,4386.848381556415,28.97827648532168,0
Driving Licence,1400,896,434,0,661.7343581537255,26.213257793715748,0
Driving Licence,1000,687,640,0,4083.0543826940775,21.507404463642235,0
Driving Licence,1400,902,401,0,2917.6695171112688,22.79682182603346,0
Driving Licence,1400,935,339,0,3279.1397321588183,29.609356780305156,0
Driving Licence,1000,620,620,0,2326.138281931641,16.368808744336672,0
Driving Licence,1280,785,510,0,988.3518188026934,19.1259567615395,0
Driving Licence,1600,1086,556,0,502.08150798126326,19.05137712668338,0
Driving Licence,1200,826,635,0,2439.3198854359325,25.84872065780541,0
Driving Licence,1000,658,642,0,1375.056878292281,23.162040040346824,0
Driving Licence,1280,840,621,1,1507.1291833014566,21.94497011784771,0
Driving Licence,800,540,619,0,2938.2573359195876,22.05358046457723,0
Driving Licence,1600,1098,403,1,1458.2475626678897,14.897897441824462,0
Driving Licence,1280,831,377,0,3188.5421896235143,27.23239230657435,0
Driving Licence,1200,800,473,0,3029.223322374318,24.670594215217896,0
Driving Licence,1200,743,323,1,1783.1202598869434,15.730370207997085,0
Driving Licence,1400,863,431,0,566.3513157114246,22.24186116598562,0
Driving Licence,1200,789,378,0,3263.7509524098637,19.734706926010748,0
Driving Licence,1000,618,446,0,953.8940849623563,30.493872365571256,0
Driving Licence,1600,1006,442,0,3768.8888008048634,23.10401623198925,0
Driving Licence,1280,852,564,0,4088.863031813307,30.008361143266608,0
Driving Licence,1200,806,412,0,3403.8227154809574,29.942205199051543,0
Driving Licence,1600,996,587,1,4242.539976883791,27.706813022278872,0
Driving Licence,1200,758,246,0,1417.813099101815,89.60533769831113,1
Driving Licence,600,428,147,0,1163.855850006973,71.42455014344907,1
Driving Licence,1000,626,188,0,672.6363339105258,52.72301454462084,1
Driving Licence,800,534,167,0,1395.7490374919535,81.7668209222625,1
Driving Licence,1000,626,52,0,2063.940174955843,72.3525630735504,1
Driving Licence,800,540,177,0,3697.575055285531,67.72390898667041,1
Driving Licence,800,478,46,0,3021.3088969405558,72.10548372420769,1
Driving Licence,1200,749,244,0,745.9471386935788,80.89808461046022,1
Driving Licence,1000,636,211,0,2454.5673629677017,59.084427176281956,1
Driving Licence,1200,778,65,0,3476.910360886602,66.80634801021777,1
Driving Licence,600,355,112,0,1629.9588428642078,90.66619276174679,1
Driving Licence,1000,590,135,0,1122.4335454040777,67.403909144077,1
Driving Licence,1000,675,86,0,648.224973673721,74.27205049833401,1
Driving Licence,1000,604,86,0,2168.38214048914,55.887059750830744,1
Driving Licence,1200,749,170,0,536.6188378226087,72.73318609454947,1
Driving Licence,800,534,123,0,2650.1747370770418,80.09936335948437,1
Driving Licence,1200,766,189,0,3076.525585040959,84.40453578716723,1
Driving Licence,600,378,79,0,1945.544403677259,72.06065178748798,1
Driving Licence,600,411,27,0,2668.964299192984,83.83170677744404,1
Driving Licence,1200,720,162,0,1430.3373052685874,55.75927759363476,1
Driving Licence,1000,624,70,0,1771.9444788126864,73.70578538830307,1
Driving Licence,600,363,77,0,120.74844851869258,53.493927549968575,1
Driving Licence,800,536,207,0,1244.6414626159751,85.11476015150355,1
Driving Licence,1200,819,24,0,1740.3212883241,85.68092300047925,1
Driving Licence,1200,769,66,0,2659.6488398615006,57.53412369671206,1
Driving Licence,1200,708,143,0,2716.888420362918,53.64270067071503,1
Driving Licence,1200,810,111,0,2828.641830181643,62.03442109386645,1
Driving Licence,800,473,42,0,1630.453432397709,79.53999603061466,1
Driving Licence,600,413,20,0,1683.7267118295413,61.59149436629613,1
Driving Licence,800,495,136,0,2427.236903635515,72.66785029706267,1
Driving Licence,1200,766,41,0,2775.4992063521013,53.908645107665954,1
Driving Licence,800,530,248,0,461.0248384224121,65.67518666865607,1
Driving Licence,1200,848,113,0,3251.4729163217726,80.14631437520094,1
Driving Licence,1200,854,237,0,1870.6822460683788,70.93887083122263,1
Driving Licence,600,389,120,0,1517.3254670380322,76.63400392208865,1
Driving Licence,300,400,38,0,4.60893623341714,35.61218161161539,1
Driving Licence,480,280,36,0,10.564898411883222,61.347745264757805,1
Driving Licence,550,400,28,0,11.438916045607572,72.77006388500669,1
Driving Licence,550,400,36,0,11.402302414249576,58.01896711503516,1
Driving Licence,400,350,37,0,6.582528904915167,56.8246715726374,1
Driving Licence,300,400,7,0,10.204268437712681,61.05939087431152,1
Driving Licence,480,400,33,0,2.6936130087516545,39.03112005509706,1
Driving Licence,400,200,55,0,8.182538843378929,48.46216859554906,1
Driving Licence,400,400,33,0,10.448753109694545,35.93087742943303,1
Driving Licence,400,350,45,0,6.960374542934062,62.71561434767757,1
Driving Licence,400,200,15,0,10.77472013527053,64.40284175215544,1
Driving Licence,300,200,40,0,3.774395437797228,65.02459006563433,1
Driving Licence,550,350,53,0,9.316477552996403,40.10758917689862,1
Driving Licence,300,350,36,0,5.408035402530178,72.23029302414258,1
Driving Licence,300,400,53,0,8.798447799002458,64.59635041789498,1
Bank Statement,1600,2032,2096,1,2486.244762732311,19.79236172438407,0
Bank Statement,2400,3429,3024,0,4334.165987532793,28.942862881911797,0
Bank Statement,1200,1576,1517,1,2430.08379857057,21.8605131554361,0
Bank Statement,2400,3044,1195,1,3190.0738243081537,27.0474905887536,0
Bank Statement,1200,1527,1865,1,4483.724968121316,13.117423093547,0
Bank Statement,1600,2284,1034,1,4374.60777589654,25.76060020350078,0
Bank Statement,1400,1923,2342,1,1390.3056702841222,19.933032039085038,0
Bank Statement,1600,2225,2340,1,1432.9122896981112,23.626108344535645,0
Bank Statement,2400,3177,1299,1,4130.7748253941845,23.837774776425686,0
Bank Statement,1800,2385,2610,1,2733.61699894322,20.484440184939526,0
Bank Statement,1400,1842,972,0,2374.6425679765052,13.126065513636746,0
Bank Statement,1800,2526,1694,1,3484.1795170616933,23.667375301943192,0
Bank Statement,1200,1589,1623,1,2245.343326426224,28.04218498053468,0
Bank Statement,2400,3465,2652,1,673.6031331926911,30.49286660447192,0
Bank Statement,1800,2276,2050,1,801.7381883590771,15.324308638185059,0
Bank Statement,1200,1666,2196,1,2036.8073255168797,26.742014116860386,0
Bank Statement,1600,2089,1767,1,927.0242637435375,18.713201295939264,0
Bank Statement,1400,1802,889,1,1417.5789828197985,17.31875849928478,0
Bank Statement,2400,3467,2746,1,2644.3854653764815,18.190552325726557,0
Bank Statement,1800,2467,1724,0,804.8015183966526,30.81063654270767,0
Bank Statement,1600,2232,2638,1,830.9936801412246,29.533229718515855,0
Bank Statement,1600,2014,1815,1,3742.2133231273315,31.74552258629889,0
Bank Statement,1200,1590,862,1,3816.6568828260574,23.38162938331495,0
Bank Statement,1200,1612,1310,1,725.5019866037085,29.294447525101063,0
Bank Statement,1200,1628,2468,1,2721.7268224105096,27.37974830361021,0
