id,text,label,is_synthetic
passport_021,passport number nationality surname given names date of birth issuing authority generated training example,Passport,True
driving_licence_015,driver licence number date of issue date of expiry vehicle categories restrictions fictional test document no real personal information,Driving Licence,True
other_document_001,employment application position department qualifications work experience contact information generated training example,Other Document,True
driving_licence_023,driver licence number date of issue date of expiry vehicle categories restrictions example OCR text for software testing,Driving Licence,True
driving_licence_025,driving licence holder name date of birth licence number issue date expiry date categories synthetic document text for classifier training,Driving Licence,True
passport_012,travel document passport nationality date of birth place of birth expiry date synthetic document text for classifier training,Passport,True
driving_licence_009,driving license driver license license number date of birth expiry date vehicle categories fictional test document no real personal information,Driving Licence,True
bank_statement_001,bank statement account balance transaction date description debit credit closing balance generated training example,Bank Statement,True
passport_003,passport document surname given names nationality date of birth date of expiry synthetic document text for classifier training,Passport,True
bank_statement_004,bank statement customer account number transaction history payment deposit withdrawal available balance example OCR text for software testing,Bank Statement,True
passport_009,passport applicant surname given names nationality document number date of birth generated training example,Passport,True
bank_statement_025,bank statement account balance transaction date description debit credit closing balance fictional test document no real personal information,Bank Statement,True
driving_licence_020,driving licence holder name date of birth licence number issue date expiry date categories sample record for machine learning document classification,Driving Licence,True
passport_015,passport document surname given names nationality date of birth date of expiry example OCR text for software testing,Passport,True
driving_licence_012,driving license identification number holder date of birth issuing authority vehicle class synthetic document text for classifier training,Driving Licence,True
driving_licence_014,driving license driver license license number date of birth expiry date vehicle categories example OCR text for software testing,Driving Licence,True
passport_020,passport nationality date of birth place of birth passport number surname given names fictional test document no real personal information,Passport,True
bank_statement_023,account statement account number opening balance deposits withdrawals transfers closing balance generated training example,Bank Statement,True
driving_licence_008,driver licence number date of issue date of expiry vehicle categories restrictions fictional test document no real personal information,Driving Licence,True
passport_002,passport number nationality surname given names date of birth issuing authority synthetic document text for classifier training,Passport,True
bank_statement_018,account statement account number opening balance deposits withdrawals transfers closing balance example OCR text for software testing,Bank Statement,True
other_document_025,safe work procedure template task name activity site project name personal protective equipment fictional test document no real personal information,Other Document,True
other_document_004,safe work procedure template task name activity site project name personal protective equipment sample record for machine learning document classification,Other Document,True
bank_statement_009,bank statement account balance transaction date description debit credit closing balance synthetic document text for classifier training,Bank Statement,True
driving_licence_022,driving licence holder name date of birth licence number issue date expiry date categories synthetic document text for classifier training,Driving Licence,True
driving_licence_018,driving license driver license license number date of birth expiry date vehicle categories sample record for machine learning document classification,Driving Licence,True
passport_022,passport number nationality surname given names date of birth issuing authority sample record for machine learning document classification,Passport,True
bank_statement_017,account statement account number opening balance deposits withdrawals transfers closing balance sample record for machine learning document classification,Bank Statement,True
